,pl_name,sy_snum,discoverymethod,disc_year,pl_radj,pl_bmassj
0,1RXS J160929.1-210524 b,1,Imaging,2008.0,1.664,8.0
1,2MASS J02192210-3925225 b,1,Imaging,2015.0,1.44,13.9
2,2MASS J0249-0557 c,2,Imaging,2018.0,1.55,11.38
3,2MASS J12073346-3932539 b,1,Imaging,2004.0,1.4,5.2
4,55 Cnc e,2,Radial Velocity,2004.0,0.17249546500000001,0.0254224
5,AU Mic b,1,Transit,2020.0,0.375,0.05348798
6,AU Mic c,1,Transit,2021.0,0.26898075,0.04414332
7,BD+20 594 b,1,Transit,2016.0,0.214473635,0.060642640000000005
8,BD+60 1417 b,1,Imaging,2021.0,1.31,15.0
9,BD-14 3065 b,3,Transit,2024.0,1.926,12.37
10,CD-35 2722 b,1,Imaging,2011.0,1.55,29.5
11,CFHTWIR-Oph 98 b,1,Imaging,2020.0,1.86,7.8
12,COCONUTS-2 b,1,Imaging,2021.0,1.11,7.5
13,CT Cha b,1,Imaging,2007.0,2.2,17.0
14,CoRoT-1 b,1,Transit,2008.0,1.49,1.07
15,CoRoT-10 b,1,Transit,2010.0,0.97,2.75
16,CoRoT-11 b,1,Transit,2010.0,1.428,2.415
17,CoRoT-12 b,1,Transit,2010.0,1.395,0.901
18,CoRoT-13 b,1,Transit,2010.0,0.885,1.312
19,CoRoT-14 b,1,Transit,2010.0,1.09,7.6
20,CoRoT-16 b,1,Transit,2011.0,1.17,0.532
21,CoRoT-17 b,1,Transit,2011.0,1.02,2.43
22,CoRoT-18 b,1,Transit,2011.0,1.2805,3.38
23,CoRoT-19 b,1,Transit,2011.0,1.29,1.11
24,CoRoT-2 b,2,Transit,2008.0,1.4655,3.39
25,CoRoT-20 b,1,Transit,2011.0,0.9199999999999999,4.235
26,CoRoT-21 b,1,Transit,2012.0,1.3,2.24
27,CoRoT-22 b,1,Transit,2014.0,0.435,0.038
28,CoRoT-23 b,1,Transit,2011.0,1.05,3.06
29,CoRoT-24 b,1,Transit,2014.0,0.33,0.018
30,CoRoT-24 c,1,Transit,2014.0,0.44,0.088
31,CoRoT-25 b,1,Transit,2013.0,1.08,0.2815
32,CoRoT-26 b,1,Transit,2013.0,1.26,0.55
33,CoRoT-27 b,1,Transit,2014.0,1.007,10.345
34,CoRoT-28 b,1,Transit,2015.0,0.955,0.4825
35,CoRoT-29 b,1,Transit,2015.0,0.9,0.845
36,CoRoT-3 b,1,Transit,2008.0,1.01,21.55
37,CoRoT-30 b,1,Transit,2020.0,1.009,2.9
38,CoRoT-31 b,1,Transit,2020.0,1.46,0.84
39,CoRoT-32 b,1,Transit,2018.0,0.57,0.15
40,CoRoT-35 b,1,Transit,2022.0,1.68,1.1
