,pl_name,sy_snum,hostname,st_spectype
0,11 Com b,2,11 Com,G8 III
1,11 UMi b,1,11 UMi,K4 III
2,14 And b,1,14 And,K0 III
3,14 Her b,1,14 Her,K0
4,16 Cyg B b,3,16 Cyg B,G2.5 V
5,17 Sco b,1,17 Sco,K3 III
6,18 Del b,2,18 Del,G6 III
7,1RXS J160929.1-210524 b,1,1RXS J160929.1-210524,K7 V
8,24 Boo b,1,24 Boo,G3 IV
11,2M0437 b,1,2MASS J04372171+2651014,M V
12,2MASS J01033563-5515561 AB b,2,2MASS J01033563-5515561 A,M5.5/M6
13,2MASS J01225093-2439505 b,1,2MASS J01225093-2439505,M3.5 V
14,2MASS J02192210-3925225 b,1,2MASS J02192210-3925225,M6
15,2MASS J0249-0557 c,2,2MASS J0249-0557 A,M6 V
17,2MASS J04414489+2301513 b,1,2MASS J04414489+2301513,M8.5
20,2MASS J12073346-3932539 b,1,2MASS J12073346-3932539,M8
23,2MASS J22362452+4751425 b,1,2MASS J22362452+4751425,K7 V
24,2MASS J22501512+2325342 b,1,2MASS J22501512+2325342,M3
25,4 UMa b,1,4 UMa,K1 III
26,47 UMa b,1,47 UMa,G0 V
27,47 UMa c,1,47 UMa,G1 V
29,51 Eri b,3,51 Eri,F0 IV
31,55 Cnc B b,2,55 Cnc B,M4.5 V
32,55 Cnc B c,2,55 Cnc B,M4.5 V
33,55 Cnc b,2,55 Cnc,K0 IV-V
34,55 Cnc c,2,55 Cnc,G8 V
35,55 Cnc d,2,55 Cnc,G8 V
36,55 Cnc e,2,55 Cnc,G8 V
37,55 Cnc f,2,55 Cnc,G8 V
38,6 Lyn b,1,6 Lyn,K0 IV
39,61 Vir b,1,61 Vir,G5 V
40,61 Vir c,1,61 Vir,G5 V
41,61 Vir d,1,61 Vir,G5 V
42,7 CMa b,1,7 CMa,K1 III
45,75 Cet b,2,75 Cet,G3 III
46,75 Cet c,2,75 Cet,G3 III
47,8 UMi b,1,8 UMi,K0
48,81 Cet b,1,81 Cet,G5 III
49,91 Aqr b,3,91 Aqr,K0 III
51,AB Pic b,1,AB Pic,K2 V
52,AF Lep b,1,AF Lep,F8 V
53,AT2021ueyL b,1,AT2021ueyL,M V
54,AU Mic b,1,AU Mic,M1
55,AU Mic c,1,AU Mic,M1 V
58,BD+05 4868 A b,2,BD+05 4868 A,K V
59,BD+14 4559 b,1,BD+14 4559,K2 V
61,BD+15 2940 b,1,BD+15 2940,K0
62,BD+20 2457 b,1,BD+20 2457,K2 II
63,BD+20 2457 c,1,BD+20 2457,K2 II
64,BD+20 274 b,1,BD+20 274,K5 III
65,BD+20 594 b,1,BD+20 594,G
68,BD+45 564 b,1,BD+45 564,K1
69,BD+48 738 b,1,BD+48 738,K0 III
71,BD+49 828 b,1,BD+49 828,K0
72,BD+55 362 b,1,BD+55 362,K3
73,BD+60 1417 b,1,BD+60 1417,K0
74,BD+63 1405 b,1,BD+63 1405,K0
75,BD-06 1339 c,1,BD-06 1339,K7/M0 V
76,BD-08 2823 b,1,BD-08 2823,K3 V
77,BD-08 2823 c,1,BD-08 2823,K3 V
78,BD-10 3166 b,1,BD-10 3166,K0 V
79,BD-11 4672 b,1,BD-11 4672,K7 V
83,BD-17 63 b,1,BD-17 63,K5 V
84,BD-210397 b,1,BD-210397,K7 V
85,BD-210397 c,1,BD-210397,K7 V
87,BEBOP-4 AB b,2,BEBOP-4 A,G3 V
88,Barnard b,1,Barnard's star,M3.5-4 V
89,Barnard c,1,Barnard's star,M3.5-4 V
90,Barnard d,1,Barnard's star,M3.5-4 V
91,Barnard e,1,Barnard's star,M3.5-4 V
92,CD Cet b,1,CD Cet,M5.0 V
93,CD-35 2722 b,1,CD-35 2722,M1 V
