# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Wed Jul  1 07:19:05 2026
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN soltype:        Solution Type
# COLUMN sy_snum:        Number of Stars
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN st_spectype:    Spectral Type
#
pl_name,hostname,soltype,sy_snum,pl_controv_flag,st_spectype
11 Com b,11 Com,Published Confirmed,2,0,G8 III
11 Com b,11 Com,Published Confirmed,2,0,G8 III
11 Com b,11 Com,Published Confirmed,2,0,
11 UMi b,11 UMi,Published Confirmed,1,0,
11 UMi b,11 UMi,Published Confirmed,1,0,
11 UMi b,11 UMi,Published Confirmed,1,0,K4 III
14 And b,14 And,Published Confirmed,1,0,K0 III
14 And b,14 And,Published Confirmed,1,0,
14 And b,14 And,Published Confirmed,1,0,K0 III
14 Her b,14 Her,Published Confirmed,1,0,
14 Her b,14 Her,Published Confirmed,1,0,
14 Her b,14 Her,Published Confirmed,1,0,
14 Her b,14 Her,Published Confirmed,1,0,K0
14 Her b,14 Her,Published Confirmed,1,0,
14 Her b,14 Her,Published Confirmed,1,0,K0 V
14 Her b,14 Her,Published Confirmed,1,0,
14 Her b,14 Her,Published Confirmed,1,0,
14 Her b,14 Her,Published Confirmed,1,0,K0 V
16 Cyg B b,16 Cyg B,Published Confirmed,3,0,
16 Cyg B b,16 Cyg B,Published Confirmed,3,0,
16 Cyg B b,16 Cyg B,Published Confirmed,3,0,G2.5 V
16 Cyg B b,16 Cyg B,Published Confirmed,3,0,
16 Cyg B b,16 Cyg B,Published Confirmed,3,0,
16 Cyg B b,16 Cyg B,Published Confirmed,3,0,G3 V
17 Sco b,17 Sco,Published Confirmed,1,0,K3 III
18 Del b,18 Del,Published Confirmed,2,0,
18 Del b,18 Del,Published Confirmed,2,0,G6 III
18 Del b,18 Del,Published Confirmed,2,0,G6 III
1RXS J160929.1-210524 b,1RXS J160929.1-210524,Published Confirmed,1,0,K7 V
1RXS J160929.1-210524 b,1RXS J160929.1-210524,Published Confirmed,1,0,
1RXS J160929.1-210524 b,1RXS J160929.1-210524,Published Confirmed,1,0,K7 V
1RXS J160929.1-210524 b,1RXS J160929.1-210524,Published Confirmed,1,0,
24 Boo b,24 Boo,Published Confirmed,1,0,G3 IV
24 Boo b,24 Boo,Published Confirmed,1,0,G3 IV
24 Sex b,24 Sex,Published Confirmed,1,0,
24 Sex c,24 Sex,Published Confirmed,1,0,
2M0437 b,2MASS J04372171+2651014,Published Confirmed,1,0,M V
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,Published Confirmed,2,0,M5.5/M6
2MASS J01225093-2439505 b,2MASS J01225093-2439505,Published Confirmed,1,0,
2MASS J01225093-2439505 b,2MASS J01225093-2439505,Published Confirmed,1,0,M3.5 V
2MASS J02192210-3925225 b,2MASS J02192210-3925225,Published Confirmed,1,0,M6
2MASS J0249-0557 c,2MASS J0249-0557 A,Published Confirmed,2,0,M6 V
2MASS J0249-0557 c,2MASS J0249-0557 A,Published Confirmed,2,0,M6 V
2MASS J03590986+2009361 b,2MASS J03590986+2009361,Published Confirmed,1,0,
2MASS J04414489+2301513 b,2MASS J04414489+2301513,Published Confirmed,1,0,M8.5
2MASS J11011926-7732383 b,2MASS J11011926-7732383,Published Confirmed,1,0,
2MASS J11550485-7919108 b,2MASS J11550485-7919108,Published Confirmed,1,0,
2MASS J12073346-3932539 b,2MASS J12073346-3932539,Published Confirmed,1,0,
2MASS J12073346-3932539 b,2MASS J12073346-3932539,Published Confirmed,1,0,M8
2MASS J12073346-3932539 b,2MASS J12073346-3932539,Published Confirmed,1,0,M8
2MASS J19383260+4603591 b,2MASS J19383260+4603591,Published Confirmed,2,0,
2MASS J19383260+4603591 b,2MASS J19383260+4603591,Published Confirmed,2,0,
2MASS J21252752-8138278 b,2MASS J21252752-8138278,Published Confirmed,1,0,
2MASS J22362452+4751425 b,2MASS J22362452+4751425,Published Confirmed,1,0,K7 V
2MASS J22501512+2325342 b,2MASS J22501512+2325342,Published Confirmed,1,0,M3
4 UMa b,4 UMa,Published Confirmed,1,0,K1 III
4 UMa b,4 UMa,Published Confirmed,1,0,K1 III
